Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3217  2.0116    -6.5418 -0.3525
      1  -1.6778  1.1805    -3.3567 -0.1840
      2  -2.5699  0.7864    -3.4530 -1.8703
      3  -2.9776  0.6693    -3.6624 -2.5749
      4  -3.2933  0.7475    -4.3739 -2.9407
      5  -3.8256  1.2371    -6.7228 -2.9657
      6  -4.6511  1.5770    -8.0045 -2.8825
      7  -5.5387  1.7563    -8.6740 -2.4542
      8  -5.6286  1.5896    -8.6080 -3.4332
      9  -5.0899  1.2689    -7.3192 -3.4332
     10  -4.7011  1.1094    -6.5034 -3.3165
     11  -4.3863  1.0411    -6.0000 -3.1780
     12  -4.3743  0.8912    -5.7729 -3.3021
     13  -4.1202  0.8342    -5.3775 -3.1717
     14  -3.9599  0.7500    -5.0310 -3.0866
     15  -4.1123  0.6817    -5.1342 -3.3738
     16  -4.0185  0.5996    -4.9195 -3.3315
     17  -4.1039  0.5288    -4.9497 -3.5178
     18  -4.0405  0.4675    -4.7960 -3.4960
     19  -3.8686  0.5199    -4.6629 -3.2860

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0592     0.0055  0.1898
      1   0.1011  0.0591     0.0057  0.1898
      2   0.1004  0.0594     0.0047  0.1897
      3   0.1001  0.0595     0.0044  0.1896
      4   0.0929  0.0612     0.0019  0.1884
      5   0.0362  0.0369     0.0001  0.1106
      6   0.0114  0.0102     0.0000  0.0279
      7   0.0068  0.0046     0.0000  0.0125
      8   0.0076  0.0043     0.0000  0.0128
      9   0.0082  0.0046     0.0000  0.0135
     10   0.0086  0.0049     0.0001  0.0138
     11   0.0089  0.0050     0.0001  0.0145
     12   0.0093  0.0048     0.0001  0.0149
     13   0.0095  0.0049     0.0001  0.0156
     14   0.0100  0.0051     0.0003  0.0168
     15   0.0104  0.0052     0.0003  0.0177
     16   0.0110  0.0054     0.0005  0.0186
     17   0.0117  0.0056     0.0006  0.0193
     18   0.0123  0.0057     0.0008  0.0198
     19   0.0109  0.0050     0.0006  0.0178

